comment_id,video_id,video_title,comment,cleaned_comment,processed_comment
63,TcMBFSGVi1c,Avengers Endgame Trailer,"1st February 2026
10 months and 16 days to Doomsday","st february 
 months and  days to doomsday",st february month day doomsday
64,TcMBFSGVi1c,Avengers Endgame Trailer,"31st January 2026
10 months and 17 days to Doomsday ⚡","st january 
 months and  days to doomsday ",st january month day doomsday
65,TcMBFSGVi1c,Avengers Endgame Trailer,You know who actually saved everyone? The RAT who stepped on the controls and let Ant-Man out from the quantum world. Think about that one for a moment...,you know who actually saved everyone the rat who stepped on the controls and let antman out from the quantum world think about that one for a moment,know actually saved everyone rat stepped control let antman quantum world think one moment
66,TcMBFSGVi1c,Avengers Endgame Trailer,"Wait a minute ! 😮
I think this is doom day trailer 😅📈","wait a minute  
i think this is doom day trailer ",wait minute think doom day trailer
67,TcMBFSGVi1c,Avengers Endgame Trailer,Viendo el tráiler antes de Avengers Doomsday,viendo el triler antes de avengers doomsday,viendo el triler ante de avenger doomsday
68,TcMBFSGVi1c,Avengers Endgame Trailer,this trailer is so emotional,this trailer is so emotional,trailer emotional
69,TcMBFSGVi1c,Avengers Endgame Trailer,Why didn't they keep this part in 😂 2:17,why did not they keep this part in  ,not keep part
70,TcMBFSGVi1c,Avengers Endgame Trailer,I can't believe this was 6 years ago,i cannot believe this was  years ago,cannot believe year ago
71,TcMBFSGVi1c,Avengers Endgame Trailer,"Kimikiss Pure Rouge, and Dancouga Nova",kimikiss pure rouge and dancouga nova,kimikiss pure rouge dancouga nova
72,TcMBFSGVi1c,Avengers Endgame Trailer,"29th January 2026
10 months and 19 days to Doomsday","th january 
 months and  days to doomsday",th january month day doomsday
73,TcMBFSGVi1c,Avengers Endgame Trailer,"bhai mai begginer hu
is it right to watch from endgame
ye movie addict hai ki nahi like squidgame tell me","bhai mai begginer hu
is it right to watch from endgame
ye movie addict hai ki nahi like squidgame tell me",bhai mai begginer hu right watch endgame ye movie addict hai ki nahi like squidgame tell
74,TcMBFSGVi1c,Avengers Endgame Trailer,Anyone in 2026,anyone in ,anyone
75,TcMBFSGVi1c,Avengers Endgame Trailer,7 years ago is crazy, years ago is crazy,year ago crazy
76,TcMBFSGVi1c,Avengers Endgame Trailer,"Who got recommended 6 years later, Doomsday is coming!!",who got recommended  years later doomsday is coming,got recommended year later doomsday coming
77,TcMBFSGVi1c,Avengers Endgame Trailer,"now, RDJ is back as Doom.",now rdj is back as doom,rdj back doom
78,TcMBFSGVi1c,Avengers Endgame Trailer,"You mess with time it tends to mess back.
Dr Doom is coming.
Messing with time has consequences","you mess with time it tends to mess back
dr doom is coming
messing with time has consequences",mess time tends mess back dr doom coming messing time consequence
79,TcMBFSGVi1c,Avengers Endgame Trailer,"The mood is dark, intense, and beautiful",the mood is dark intense and beautiful,mood dark intense beautiful
80,TcMBFSGVi1c,Avengers Endgame Trailer,Avengers Doomsday 🔥🔥🤯,avengers doomsday ,avenger doomsday
81,TcMBFSGVi1c,Avengers Endgame Trailer,"27th January 2026
10 months and 20 days to Doomsday ⚡","th january 
 months and  days to doomsday ",th january month day doomsday
82,TcMBFSGVi1c,Avengers Endgame Trailer,Who’s here after secret wars came out,whos here after secret wars came out,who secret war came
83,TcMBFSGVi1c,Avengers Endgame Trailer,Ts was my first marvel experience in cinema when I was like 10… nothing has ever beaten this one🫡,ts was my first marvel experience in cinema when i was like  nothing has ever beaten this one,t first marvel experience cinema like nothing ever beaten one
84,TcMBFSGVi1c,Avengers Endgame Trailer,"I would like to rewatch all these MCU movies with my College friends 


Thats not going to happen in this life though","i would like to rewatch all these mcu movies with my college friends 


thats not going to happen in this life though",would like rewatch mcu movie college friend thats not going happen life though
85,TcMBFSGVi1c,Avengers Endgame Trailer,Who is here after 4 doomsday teasers,who is here after  doomsday teasers,doomsday teaser
86,TcMBFSGVi1c,Avengers Endgame Trailer,"AVENGERS END GAME
ออกฉายในปี2019หนังเข้าฉายที่26
เดือนเมษายน พ.ศ.2562
รายชื่อนักแสดงอเวนเจอร์สเผด็จศึก
จอชโบรลินรับบทธานอส
โรเบิร์ตดาวนีย์จูเนียร์รับบทโทนี่สตาร์ค/iron man
คริสเฮมส์เวิร์ธรับบทธอร์
ดาไนกูริร่ารับบทโอโคเย่
บรีลาร์สันรับบทแครอล/captain marvel
แบรดลีย์คูเปอร์รับบทร็อคเก็ตแรคคูน
คริสอีแวนส์รับบทสตีฟโรเจอร์ส/captain america
สการ์เล็ตต์โจแฮนส์สันรับบทนาตาชา/black widow
เจมี่ลีเรนเนอร์รับบทคลินท์บาร์ตัน/hawkeye
ดอนชีเดิลรับบทเจมส์โรดส์/war machine
พอลรัดด์รับบทสก๊อตแลง/ant man
มาร์ครัฟฟาโลรับบทบรูซแบนเนอร์/hulk
แชดวิกโบสแมนรับบททีชาล่า/black panther
แอนโธนี่แม็คกีรับบทแซมวิลสัน/falcon
เบเนดิกต์คัมเบอร์แบตช์รับบทสตีเฟ่นส์/doctor strange
เดฟบอทิสตารับบทแดร๊กซ์เดสทรอยเยอร์
ปอมเกลม็องตีแย็ฟรับบทแมนทิส
คริสแพร็ตต์รับบทปีเตอร์ควิลล์/star lord
เซบาสเตียนสแตนรับบทบัคกี้บาร์นส์
วินดีเซลรับบทgroot
เทสซาธอป์สันรับบทวัลคิรี่
อลิซาเบธโอลเซ่นรับบทแวนด้า/scarlet witch
กวินเน็ธพัลโทรว์รับบทเปปเปอร์พอตส์
เบเนดิดท์หว่องรับบทwong
อีแวนจีไลน์ลิลลี่รับบทthe wasp
โซอี้ซัลดัญญารับบทกาโมร่า
คาเรนกิลแลนรับบทเนบิวล่า
ผู้กำกับแอนโทนีรุสโซและโจรุสโซ","avengers end game

 


iron man


captain marvel

captain america
black widow
hawkeye
war machine
ant man
hulk
black panther
falcon
doctor strange


star lord

groot

scarlet witch

wong
the wasp


",avenger end game iron man captain marvel captain america black widow hawkeye war machine ant man hulk black panther falcon doctor strange star lord groot scarlet witch wong wasp
87,TcMBFSGVi1c,Avengers Endgame Trailer,seeing this in 2026.... doomsday is gonna hit so hard,seeing this in  doomsday is gonna hit so hard,seeing doomsday gonna hit hard
88,TcMBFSGVi1c,Avengers Endgame Trailer,Esse trailer é simplesmente perfeito ❤,esse trailer  simplesmente perfeito ,esse trailer simplesmente perfeito
89,TcMBFSGVi1c,Avengers Endgame Trailer,I can't wait for this movie to come out,i cannot wait for this movie to come out,cannot wait movie come
90,TcMBFSGVi1c,Avengers Endgame Trailer,Tekrar tüylerim diken diken oldu LAĞN!,tekrar tylerim diken diken oldu lan,tekrar tylerim diken diken oldu lan
91,TcMBFSGVi1c,Avengers Endgame Trailer,Seahawks returning to the Super Bowl to play the Patriots again:,seahawks returning to the super bowl to play the patriots again,seahawks returning super bowl play patriot
